"key","code","name","behaviour","remark"
100,"8052","Papillary squamous cell carcinoma, non-invasive","2","1"
101,"8052",Papillary squamous cell carcinoma in situ,"2","2"
102,"8052",Papillary squamous cell carcinoma,"3","1"
103,"8052",Papillary epidermoid carcinoma,"3","2"
104,"8052","Squamous cell carcinoma, papillary ","3","4"
105,"8053","Squamous cell papilloma, inverted","0","1"
106,"8053",Inverted squamous cell papilloma,"0","3"
107,"8060",Squamous papillomatosis,"0","1"
108,"8060","Papillomatosis, NOS","0","2"
109,"8060",Papillomatosis,"0","3"
110,"8070","Squamous cell carcinoma in situ, NOS","2","1"
111,"8070","Epidermoid carcinoma in situ, NOS","2","2"
112,"8070","Intraepidermal carcinoma, NOS","2","2"
113,"8070",Intraepithelial squamous cell carcinoma,"2","2"
114,"8070",Squamous cell carcinoma in situ,"2","3"
115,"8070","Squamous cell carcinoma, NOS","3","1"
116,"8070","Epidermoid carcinoma, NOS","3","2"
117,"8070",Squamous carcinoma,"3","2"
118,"8070",Squamous cell epithelioma,"3","2"
119,"8070",Squamous cell carcinoma,"3","3"
120,"8071","Squamous cell carcinoma, keratinizing, NOS","3","1"
121,"8071","Epidermoid carcinoma, keratinizing","3","2"
122,"8071","Squamous cell carcinoma, large cell,  keratinizing","3","2"
123,"8071",Keratinizing squamous cell carcinoma,"3","3"
124,"8071","Squamous cell carcinoma, keratinizing","3","4"
125,"8072","Squamous cell carcinoma, large cell, nonkeratinizing, NOS","3","1"
126,"8072","Epidermoid carcinoma, large cell, nonkeratinizing","3","2"
127,"8072","Squamous cell carcinoma, nonkeratinizing, NOS","3","2"
128,"8072",Nonkeratinizing nasopharyngeal carcinoma,"3","3"
129,"8072","Squamous cell carcinoma, nonkeratinizing","3","4"
130,"8073","Squamous cell carcinoma, small cell, nonkeratinizing","3","1"
131,"8073","Epidermoid carcinoma, small cell, nonkeratinizing","3","2"
132,"8073","Squamous cell carcinoma, small cell ","3","4"
133,"8074","Squamous cell carcinoma, spindle cell","3","1"
134,"8074","Epidermoid carcinoma, spindle cell","3","2"
135,"8074","Squamous cell carcinoma, sarcomatoid","3","2"
136,"8074",Sarcomatoid squamous carcinoma,"3","3"
137,"8074",Spindle cell squamous carcinoma,"3","4"
138,"8074",Spindle-cell squamous cell carcinoma,"3","4"
139,"8075","Squamous cell carcinoma, adenoid","3","1"
140,"8075","Squamous cell carcinoma, acantholytic","3","2"
141,"8075","Squamous cell carcinoma, pseudoglandular","3","2"
142,"8075",Acantholytic squamous cell carcinoma,"3","3"
143,"8075",Pseudoglandular squamous cell carcinoma,"3","4"
144,"8076",Squamous cell carcinoma in situ with questionable stromal invasion,"2","1"
145,"8076",Epidermoid carcinoma in situ with questionable stromal invasion,"2","2"
146,"8076","Squamous cell carcinoma, microinvasive","3","1"
147,"8076",Early invasive squamous cell carcinoma,"3","3"
148,"8076",microinvasive sqaumous cell carcinoma,"3","3"
149,"8077","Squamous intraepithelial neoplasia, grade III","2","1"
150,"8077",AIN III,"2","2"
151,"8077","Anal intraepithelial neoplasia, grade III","2","2"
152,"8077","Cervical intraepithelial neoplasia, grade III","2","2"
153,"8077",CIN III with severe dysplasia,"2","2"
154,"8077","CIN III, NOS","2","2"
155,"8077","Vaginal intraepithelial neoplasia, grade III","2","2"
156,"8077",VAIN III,"2","2"
157,"8077",VIN III ,"2","2"
158,"8077","Vulvar intraepithelial neoplasia, grade III ","2","2"
159,"8077",Cervical intraepithelial neoplasia (CIN) 3 ,"2","3"
160,"8077",Intraepithelial neoplasia grade III,"2","4"
161,"8077",Squamous intraepithelial neoplasia grade III,"2","4"
162,"8077",Vaginal intraepithelial neoplasia 3 ,"2","4"
163,"8077",Vulvar intraepithelial neoplasia (VIN) 3 ,"2","4"
164,"8078",Squamous cell carcinoma with horn formation,"3","1"
165,"8080",Queyrat erythroplasia,"2","1"
166,"8080",Erythroplasia of Queyrat,"2","3"
167,"8081",Bowen disease,"2","1"
168,"8081","Intraepidermal squamous cell carcinoma, Bowen type","2","2"
169,"8082",Lymphoepithelial carcinoma,"3","1"
170,"8082",Lymphoepithelioma,"3","2"
171,"8082",Lymphoepithelioma-like carcinoma,"3","2"
172,"8082",Schmincke tumor,"3","2"
173,"8082","Adenocarcinoma, lymphoepithelioma-like","3","3"
174,"8082",Lymphoepithelial carcinoma,"3","4"
175,"8082",Lymphoepithelioma-like carcinoma,"3","4"
176,"8083",Basaloid squamous cell carcinoma,"3","1"
177,"8083",Basaloid carcinoma,"3","3"
178,"8083",Basaloid squamous cell carcinoma,"3","4"
179,"8083","Squamous cell carcinoma, basaloid","3","4"
180,"8084","Squamous cell carcinoma, clear cell type","3","1"
181,"8084","Squamous cell carcinoma, clear cell ","3","3"
182,"8090",Basal cell tumor ,"1","1"
183,"8090","Basal cell carcinoma, NOS ","3","1"
184,"8090",Basal cell epithelioma ,"3","2"
185,"8090",Pigmented basal cell carcinoma ,"3","2"
186,"8090",Rodent ulcer,"3","2"
187,"8090",Basal cell carcinoma,"3","3"
188,"8090",Superficial basal cell carcinoma,"3","3"
189,"8090",Keratotic basal cell carcinoma,"3","4"
190,"8090",Micronodular basal cell carcinoma,"3","4"
191,"8091",Multifocal superficial basal cell carcinoma,"3","1"
192,"8091",Multicentric basal cell carcinoma,"3","2"
193,"8092","Infiltrating basal cell carcinoma, NOS ","3","1"
194,"8092","Basal cell carcinoma, desmoplastic type ","3","2"
195,"8092","Basal cell carcinoma, morpheic ","3","2"
196,"8092","Infiltrating basal cell carcinoma, non-sclerosing ","3","2"
197,"8092","Infiltrating basal cell carcinoma, sclerosing ","3","2"
198,"8092",Infiltrating basal cell carcinoma,"3","3"
199,"8093","Basal cell carcinoma, fibroepithelial ","3","1"
200,"8093","Fibroepithelial basal cell carcinoma, Pinkus type","3","2"
201,"8093",Fibroepithelioma of Pinkus type,"3","2"
202,"8093","Fibroepithelioma, NOS","3","2"
203,"8093",Pinkus tumor,"3","2"
204,"8093",Fibroepithelial basal cell carcinoma,"3","3"
205,"8094",Basosquamous carcinoma ,"3","1"
206,"8094",Mixed basal-squamous cell carcinoma ,"3","2"
207,"8095",Metatypical carcinoma ,"3","1"
208,"8096",Intraepidermal epithelioma of Jadassohn ,"0","1"
209,"8097","Basal cell carcinoma, nodular ","3","1"
210,"8097","Basal cell carcinoma, micronodular ","3","2"
211,"8097",Nodular basal cell carcinoma,"3","3"
212,"8097",Solid basal cell carcinoma,"3","3"
213,"8098",Adenoid basal carcinoma,"3","1"
214,"8100",Trichoepithelioma ,"0","1"
215,"8100",Brooke tumor ,"0","2"
216,"8100",Epithelioma adenoides cysticum ,"0","2"
217,"8100",Trichoblastoma,"0","3"
218,"8100",Trichoepithelioma,"0","4"
219,"8101",Trichofolliculoma ,"0","1"
220,"8102",Trichilemmoma ,"0","1"
221,"8102",Multiple tricholemmomas,"0","3"
222,"8102",Trichilemmocarcinoma,"3","1"
223,"8102",Trichilemmal carcinoma,"3","3"
224,"8103",Pilar tumor ,"0","1"
225,"8103",Proliferating trichilemmal cyst,"0","2"
226,"8103",Proliferating trichilemmal tumor,"0","2"
227,"8110","Pilomatrixoma, NOS","0","1"
228,"8110",Calcifying epithelioma of Malherbe ,"0","2"
229,"8110","Pilomatricoma, NOS ","0","2"
230,"8110",Pilomatricoma,"0","3"
231,"8110",Pilomatrix carcinoma ,"3","1"
232,"8110",Matrical carcinoma ,"3","2"
233,"8110","Pilomatricoma, malignant","3","2"
234,"8110","Pilomatrixoma, malignant","3","2"
235,"8110",Pilomatrical carcinoma,"3","3"
236,"8120","Transitional cell papilloma, benign","0","1"
237,"8120",Transitional papilloma,"0","2"
238,"8120","Urothelial papilloma, NOS","1","1"
239,"8120",Papilloma of bladder ,"1","2"
240,"8120","Transitional cell papilloma, NOS","1","2"
241,"8120",Urothelial papilloma,"1","3"
242,"8120",Transitional cell carcinoma in situ,"2","1"
243,"8120",Urothelial carcinoma in situ,"2","2"
244,"8120","Transition cell carcinoma, NOS","3","1"
245,"8120",Transitional carcinoma,"3","2"
246,"8120","Urothelial carcinoma, NOS","3","2"
247,"8120",Infiltrating urothelial carcinoma,"3","3"
248,"8120","Infiltrating urothelial carcinoma, giant cell","3","4"
249,"8120","Infiltrating urothelial carcinoma, lymphoepithelioma-like","3","4"
250,"8120","Infiltrating urothelial carcinoma, microcystic","3","4"
251,"8120","Infiltrating urothelial carcinoma, with glandular differentiation","3","4"
252,"8120","Infiltrating urothelial carcinoma, with squamous differentiation","3","4"
253,"8120","Infiltrating urothelial carcinoma, with trophoblastic differentiation","3","4"
254,"8120",Squamotransitional cell carcinoma,"3","4"
255,"8120",Transitional cell carcinoma,"3","4"
256,"8120",Transitional cell carcinoma (non-Brenner type),"3","4"
257,"8120",Urothelial carcinoma ,"3","4"
258,"8121","Schneiderian papilloma, NOS ","0","1"
259,"8121","Sinonasal papilloma, exophytic ","0","2"
260,"8121","Sinonasal Papilloma, fungiform ","0","2"
261,"8121","Sinonasal papilloma, NOS","0","2"
262,"8121","Transitional cell papilloma, inverted, benign","0","2"
263,"8121","Transitional papilloma, inverted, benign","0","2"
264,"8121","Exophytic papilloma (Schneiderian papilloma, exophytic type)","0","3"
265,"8121",Schneiderian-type papilloma,"0","4"
266,"8121",Schneidrian papilloma,"0","4"
267,"8121","Transitional cell papilloma, inverted, NOS","1","1"
268,"8121",Columnar cell papilloma,"1","2"
269,"8121",Cylindrical cell papilloma,"1","2"
270,"8121",Oncocytic Schneiderian papilloma ,"1","2"
271,"8121","Schneiderian papilloma, inverted ","1","2"
272,"8121","Transitional papilloma, inverted, NOS","1","2"
273,"8121",Inverted papilloma,"1","3"
274,"8121",Inverted urothelial papilloma,"1","4"
275,"8121","Inverted papilloma (Schneiderian papilloma, inverted type)","1","4"
276,"8121","Oncocytic papilloma (Schneiderian papilloma, oncocytic type)","1","4"
277,"8121",Schneiderian carcinoma,"3","1"
278,"8121",Cylindrical cell carcinoma,"3","2"
279,"8121",Sinonasal undifferentiated carcinoma,"3","4"
280,"8122","Transitional cell carcinoma, spindle cell ","3","1"
281,"8122","Transitional cell carcinoma, sarcomatoid","3","2"
282,"8122","Infiltrating urothelial carcinoma, sarcomatoid","3","3"
283,"8123",Basaloid carcinoma,"3","1"
284,"8124",Cloacogenic carcinoma ,"3","1"
285,"8130",Papillary transitional cell carcinoma of low malignant potential ,"1","1"
286,"8130",Papillary urothelial neoplasm of low malignant potential ,"1","2"
287,"8130",Non-invasive papillary urothelial neoplasm of low malignant potential,"1","3"
288,"8130","Papillary transitional cell carcinoma, non-invasive ","2","1"
289,"8130","Papillary urothelial carcinoma, non-invasive","2","2"
290,"8130","Non-invasive papillary urothelial carcinoma, high grade","2","3"
291,"8130","Non-invasive papillary urothelial carcinoma, low grade","2","3"
292,"8130",Papillary transitional cell carcinoma,"3","1"
293,"8130",Papillary urothelial carcinoma,"3","2"
294,"8131","Transitional cell carcinoma, micropapillary ","3","1"
295,"8131","Infiltrating urothelial carcinoma, micropapillary","3","3"
296,"8140","Adenoma, NOS","0","1"
297,"8140",Mucous gland adenoma,"0","4"
298,"8140",Parathyroid adenoma,"0","4"
299,"8140",Atypical adenoma,"1","1"
300,"8140","Bronchial adenoma, NOS","1","2"
301,"8140","Adenocarcinoma in situ, NOS","2","1"
302,"8140",Adenocarcinoma in situ,"2","3"
303,"8140","Adenocarcinoma, NOS","3","1"
304,"8140",Adenocarcinoma,"3","3"
305,"8140","Adenocarcinoma, non-intestinal-type","3","4"
306,"8140",Adenocarcinoma of other types,"3","4"
307,"8140",Carcinoma of collecting ducts of Rete,"3","4"
308,"8140",Early invasive adenocarcinoma,"3","4"
309,"8140",Endolymphatic sac tumor,"3","4"
310,"8140",Parathyroid carcinoma,"3","4"
311,"8140",Salivary gland adenocarcinoma,"3","4"
312,"8141",Scirrhous adenocarcinoma,"3","1"
313,"8141",Carcinoma with productive fibrosis,"3","2"
314,"8141",Scirrhous carcinoma,"3","2"
315,"8142",Linitis plastica ,"3","1"
316,"8143",Superficial spreading adenocarcinoma,"3","1"
317,"8144","Adenocarcinoma, intestinal type ","3","1"
318,"8144","Carcinoma, intestinal type ","3","2"
319,"8144","Adenocarcinoma, intestinal-type","3","3"
320,"8144",Intestinal adenocarcinoma,"3","4"
321,"8145","Carcinoma, diffuse type ","3","1"
322,"8145","Adenocarcinoma, deffuse type ","3","2"
323,"8146",Monomorphic adenoma,"0","1"
324,"8147",Basal cell adenoma,"0","3"
325,"8147",Basal cell adenocarcinoma,"3","1"
326,"8147",Basal cell carcinoma,"3","3"
327,"8148","Glandular intraepithelial neoplasia,grade III","2","1"
328,"8148",PIN III ,"2","2"
329,"8148","Prostatic intraepithelial neoplasia, grade III ","2","2"
330,"8149",Canalicular adenoma,"0","1"
331,"8150",Islet cell adenoma ,"0","1"
332,"8150",Islet cell adenomatosis ,"0","2"
333,"8150","Islet cell tumor, benign ","0","2"
334,"8150",Nesidioblastoma,"0","2"
335,"8150","Well-differentiated endocrine tumour, microadenoma (<0.5 cm)","0","3"
336,"8150","Islet cell tumor, NOS ","1","1"
337,"8150",Well-differentiated endocrine tumour,"1","3"
338,"8150",Islet cell carcinoma ,"3","1"
339,"8150",Islet cell adenocarcinoma ,"3","2"
340,"8150",Well-differentiated endocrine carcinoma,"3","3"
341,"8150","Well-differentiated endocrine carcinoma, ACTH producing with Cushing syndrome","3","4"
342,"8150","Well-differentiated endocrine carcinoma, non-functioning","3","4"
343,"8151","Insulinoma, NOS ","0","1"
344,"8151",Beta cell adenoma ,"0","2"
345,"8151","Well-differentiated endocrine tumour, insulin-producing (insulinoma)","1","3"
346,"8151","Insulinoma, malignant ","3","1"
347,"8151",Beta cell adenoma ,"3","2"
348,"8151","Well-differentiated endocrine carcinoma, insulin-producing (insulinoma)","3","3"
349,"8152","Glucagonoma, NOS ","1","1"
350,"8152","Alpha cell tumor, malignant ","1","2"
351,"8152","Well-differentiated endocrine tumour, glucagon-producing (glucagonoma)","1","3"
352,"8152","Glucagonoma, malignant ","3","1"
353,"8152","Alpha cell tumor, malignant ","3","2"
354,"8152","Well-differentiated endocrine carcinoma, glucagon-producing (glucagonoma)","3","3"
355,"8153","Gastrinoma, NOS","1","1"
356,"8153","G cell tumor, NOS","1","2"
357,"8153",Gastrin cell tumor,"1","2"
358,"8153","Gastrin cell tumour, functioning (gastrinoma) or non-functioning","1","3"
359,"8153","Well-differentiated endocrine tumour, gastrin-producing (gastrinoma)","1","4"
360,"8153","Gastrinoma, malignant","3","1"
361,"8153","G cell tumor, malignant","3","2"
362,"8153","Gastrin cell tumor, malignant","3","2"
363,"8153","Well-differentiated endocrine carcinoma, gastrin-producing (gastrinoma)","3","3"
364,"8154",Mixed islet cell and exocrine adenocarcinoma ,"3","1"
365,"8154",Mixed acinar-endocrine carcinoma ,"3","2"
366,"8154",Mixed ductal-endocrine carcinoma ,"3","2"
367,"8154",Mixed acinar-endocrine carcinoma,"3","3"
368,"8154",Mixed ductal-endocrine carcinoma,"3","4"
369,"8154",Mixed exocrine - endocrine carcinoma,"3","4"
370,"8155","Vipoma, NOS","1","1"
371,"8155","Well-differentiated endocrine tumour, VIP-producing (VIPoma)","1","3"
372,"8155","Vipoma,malignant","3","1"
373,"8155","Well-differentiated endocrine carcinoma, VIP-producing (VIPoma)","3","3"
374,"8156","Somatostatinoma, NOS","1","1"
375,"8156","Somatostatin cell tumor, NOS","1","2"
376,"8156","Well-differentiated endocrine tumour, somatostatin-producing (somatostatinoma)","1","4"
377,"8156","Somatostatinoma, NOS","3","1"
378,"8156","Somatostatin cell tumor, malignant","3","2"
379,"8156","Well-differentiated endocrine carcinoma, somatostatin-producing (somatostatinoma)","3","3"
380,"8157","Enteroglucagonoma, NOS","1","1"
381,"8157","Enteroglucagonoma, malignant","3","1"
382,"8160",Cholangioma,"0","1"
383,"8160",Intrahepatic bile duct adenoma,"0","3"
384,"8160",Cholangiocarcinoma,"3","1"
385,"8160",Bile duct adenoma,"3","1"
386,"8160",Bile duct adenocarcinoma ,"3","2"
387,"8160",Bile duct carcinoma,"3","2"
388,"8160",Intrahepatic cholangiocarcinoma (peripheral bile duct carcinoma),"3","3"
389,"8161",Bile duct cystadenocarcinoma ,"0","1"
390,"8161",Biliary cystadenoma,"0","3"
391,"8161",Intrahepatic bile duct cystadenoma,"0","3"
392,"8161",Bile duct cystadenocarcinoma,"3","1"
393,"8161",Bile duct cystadenocarcinoma,"3","3"
394,"8161",Biliary cystadenocarcinoma,"3","3"
395,"8162",Klatskin tumor ,"3","1"
396,"8170",Liver cell adenoma ,"0","1"
397,"8170",Hepatocellular adenoma ,"0","2"
398,"8170","Hepatoma, benign ","0","2"
399,"8170",Hepatocellular adenoma (liver cell adenoma),"0","3"
400,"8170","Hepatocellular carcinoma, NOS ","3","1"
401,"8170",Hepatocarcinoma ,"3","2"
402,"8170","Hepatoma, malignant ","3","2"
403,"8170","Hepatoma, NOS ","3","2"
404,"8170",Liver cell carcinoma ,"3","2"
405,"8170",Hepatocellular carcinoma (liver cell carcinoma),"3","3"
406,"8171","Hepatocellular carcinoma, fibrolamellar ","3","1"
407,"8172","Hepatocellular carcinoma, scirrhous ","3","1"
408,"8172",Sclerosing hepatic carcinoma ,"3","2"
409,"8173","Hepatocellular carcinoma, spindle cell variant ","3","1"
410,"8173","Hepatocellular carcinoma, sarcomatoid ","3","2"
411,"8174","Hepatocellular carcinoma, clear cell type ","3","1"
412,"8175","Hepatocellular carcinoma, pleomorphic type ","3","1"
413,"8180",Combined hepatocellular carcinoma and  cholangiocarcinoma,"3","1"
414,"8180",Mixed hepatocellular and bile duct carcinoma,"3","2"
415,"8180",Hepatocholangiocarcinoma,"3","2"
416,"8190",Trabecular adenoma,"0","1"
417,"8190",Trabecular adenocarcinoma,"3","1"
418,"8190",Trabecular carcinoma,"3","2"
419,"8191",Embryonal adenoma,"0","1"
420,"8200",Eccrine dermal cylindroma ,"0","1"
421,"8200",Cylindroma of skin ,"0","2"
422,"8200",Turban tumor ,"0","2"
423,"8200",Cylindroma,"0","3"
424,"8200",Adenoid cystic carcinoma,"3","1"
425,"8200","Adenocarcinoma, cylindroid","3","2"
426,"8200",Adenocystic carcinoma,"3","2"
427,"8200","Bronchial adenoma, cylindroid ","3","2"
428,"8200","Cylindroma, NOS (except cylindroma of skin)","3","2"
429,"8201",Cribriform carcinoma in situ ,"2","1"
430,"8201","Ductal carcinoma in situ, cribriform type","2","2"
431,"8201","Cribriform carcinoma, NOS","3","1"
432,"8201","Ductal carcinoma, cribriform type ","3","2"
433,"8201",Invasive cribriform carcinoma,"3","3"
434,"8202",Microcystic adenoma ,"0","1"
435,"8204",Lactating adenoma ,"0","1"
436,"8204",Lactating adenoma,"0","3"
437,"8210","Adenomatous polyp, NOS","0","1"
438,"8210",Polypoid adenoma,"0","2"
439,"8210",Adenocarcinoma in situ in adenomatous polyp,"2","1"
440,"8210","Adenocarcinoma in situ in a polyp, NOS","2","2"
441,"8210",Adenocarcinoma in situ in polypoid adenoma,"2","2"
442,"8210",Adenocarcinoma in situ in tubular adenoma,"2","2"
443,"8210","Carcinoma in situ in a polyp, NOS","2","2"
444,"8210",Carcinoma in situ in adenomatous polyp,"2","2"
445,"8210",Adenocarcinoma in adenomatous polyp,"3","1"
446,"8210","Adenocarcinoma in a polyp, NOS","3","2"
447,"8210",Adenocarcinoma in polypoid adenoma,"3","2"
448,"8210",Adenocarcinoma in tubular adenoma,"3","2"
449,"8210","Carcinoma in a polyp, NOS","3","2"
450,"8210",Carcinoma in adenomatous polyp,"3","2"
451,"8211","Tubular adenoma, NOS","0","1"
452,"8211",Tubular,"0","3"
453,"8211",Tubular adenoma,"0","4"
454,"8211",Tubular adenocarcinoma,"3","1"
455,"8211",Tubular carcinoma,"3","2"
456,"8212",Flat adenoma,"0","1"
457,"8213",Serrated adenoma ,"0","1"
458,"8213",Mixed adenomatous and hyperplastic polyp,"0","2"
459,"8214",Parietal cell carcinoma,"3","1"
460,"8214",Parietal cell adenocarcinoma ,"3","2"
461,"8215",Adenocarcinoma of anal glands ,"3","1"
462,"8215",Adenocarcinoma of anal ducts ,"3","2"
463,"8220",Adenocarcinoma in adenomatous polyposis coli,"3","1"
464,"8221",Multiple adenomatous polyps,"0","1"
465,"8221",Adenocarcinoma in multilple adenomatous polyps,"3","1"
466,"8230","Ductal carcinoma in situ, solid type","2","1"
467,"8230","Intraductal carcinoma, solid type","2","2"
468,"8230","Solid carcinoma, NOS","3","1"
469,"8230",Solid adenomcarcinoma with mucin formation,"3","2"
470,"8230",Solid carcinoma with mucin formation,"3","2"
471,"8230","Ductal adenocarcinoma, solid","3","3"
472,"8230",Solid adenocarcinoma with mucin production,"3","4"
473,"8231",Carcinoma simplex,"3","1"
474,"8240",Carcinoid tumor of uncertain malignant potential,"1","1"
475,"8240","Argintaffinoma, NOS ","1","2"
476,"8240","Carcinoid tumor, argentaffin, NOS","1","2"
477,"8240","Carcinoid tumor, NOS, of appendix ","1","2"
478,"8240","Carcinoid, NOS, of appendix ","1","2"
479,"8240","Carcinoid tumor, NOS (except of appendix)","3","1"
480,"8240","Bronchial adenoma, carcinoid ","3","2"
481,"8240","Carcinoid, NOS (except of appendix)","3","2"
482,"8240",Typical carcinoid,"3","2"
483,"8240",Carcinoid,"3","3"
484,"8240",Carcinoid (well differentiated endocrine neoplasm),"3","4"
485,"8240",Carcinoid tumour,"3","4"
486,"8240",Insular carcinoid,"3","4"
487,"8240",Trabecular carcinoid,"3","4"
488,"8240",Typical carcinoid,"3","4"
489,"8241",Enterochromaffin cell carcinoid,"3","1"
490,"8241","Argentaffinoma, malignanat [obs]","3","2"
491,"8241","Carcinoid tumor, argentaffin, malignant","3","2"
492,"8241",EC cell carcinoid,"3","2"
493,"8241",Serotonin producing carcinoid,"3","2"
494,"8241","EC cell, serotonin-producing neoplasm","3","3"
495,"8241","Well-differentiated endocrine carcinoma, serotonin producing with carcinoid syndrome","3","4"
496,"8242","Enterochromaffin-like cell carcinoid, NOS","1","1"
497,"8242","ECL cell carcinoid, NOS","1","2"
498,"8242","Enterochromaffin-like cell tuomr, malignant","3","1"
499,"8242","ECL cell carcinoid, malignant","3","2"
500,"8243",Goblet cell carcinoid,"3","1"
501,"8243",Mucinous carcinoid,"3","2"
502,"8243",Mucocarcinoid tumor,"3","2"
503,"8243",Goblet cell  carcinoid (mucinous carcinoid),"3","3"
504,"8243",Goblet cell carcinoid,"3","4"
505,"8243",Mucinous carcinoid,"3","4"
506,"8244",Composite carcinoid,"3","1"
507,"8244",Combined carcinoid and adenocarcinoma,"3","2"
508,"8244",Mixed carcinoid-adenocarcinoma,"3","2"
509,"8245",Tubular carcinoid,"1","1"
510,"8245",Adenocarcinoid tumor,"3","1"
